Position,Sexe,Temps,Dept,Temps_secondes,Age
1,M,00:32:23,76,1643543,40
2,M,00:32:40,27,1643560,34
3,M,00:33:15,76,1643595,44
4,M,00:33:23,76,1643603,46
5,M,00:33:29,76,1643609,26
6,M,00:33:34,76,1643614,22
7,M,00:33:39,76,1643619,34
8,M,00:33:41,27,1643621,37
9,M,00:33:44,76,1643624,25
10,M,00:34:16,76,1643656,48
11,M,00:34:20,14,1643660,30
12,M,00:34:23,76,1643663,22
13,M,00:34:29,76,1643669,35
14,M,00:34:30,76,1643670,29
15,M,00:34:45,76,1643685,32
16,M,00:35:05,76,1643705,30
17,M,00:35:12,27,1643712,52
18,M,00:35:57,76,1643757,40
19,M,00:36:12,27,1643772,59
20,M,00:36:15,27,1643775,42
21,M,00:36:20,76,1643780,30
22,M,00:36:22,78,1643782,40
23,M,00:36:23,27,1643783,43
24,M,00:36:35,76,1643795,35
25,M,00:36:42,76,1643802,55
26,M,00:36:51,76,1643811,24
27,M,00:36:52,76,1643812,45
28,M,00:37:04,76,1643824,33
29,M,00:37:07,76,1643827,31
30,M,00:37:07,76,1643827,25
31,M,00:37:08,76,1643828,39
32,F,00:37:19,76,1643839,25
33,M,00:37:25,76,1643845,35
34,M,00:37:27,76,1643847,38
35,F,00:37:29,76,1643849,29
36,M,00:37:31,78,1643851,42
37,M,00:37:37,76,1643857,52
38,M,00:37:38,76,1643858,34
39,M,00:37:45,76,1643865,48
40,M,00:37:55,76,1643875,42
41,M,00:37:57,76,1643877,39
42,M,00:38:19,76,1643899,28
43,F,00:38:42,76,1643922,31
44,M,00:39:39,27,1643979,31
45,M,00:39:45,76,1643985,48
46,M,00:39:49,76,1643989,53
47,M,00:39:50,76,1643990,46
48,F,00:39:51,76,1643991,21
49,M,00:39:56,76,1643996,46
50,M,00:39:58,14,1643998,49
51,M,00:40:16,76,1644016,36
52,M,00:40:17,76,1644017,46
53,M,00:40:18,76,1644018,43
54,M,00:40:27,76,1644027,39
55,M,00:40:31,27,1644031,39
56,M,00:40:37,76,1644037,40
57,M,00:40:39,76,1644039,34
58,M,00:40:41,76,1644041,65
59,M,00:40:41,27,1644041,42
60,M,00:40:44,27,1644044,34
61,F,00:40:59,76,1644059,52
62,M,00:41:01,76,1644061,26
63,M,00:41:13,76,1644073,53
64,M,00:41:13,76,1644073,28
65,M,00:41:23,76,1644083,39
66,F,00:41:30,76,1644090,38
67,M,00:41:31,76,1644091,34
68,M,00:41:41,27,1644101,45
69,M,00:41:43,14,1644103,61
70,M,00:41:47,76,1644107,49
71,F,00:41:50,14,1644110,43
72,F,00:41:56,27,1644116,45
73,M,00:42:02,76,1644122,30
74,M,00:42:05,14,1644125,43
75,M,00:42:06,78,1644126,57
76,M,00:42:19,76,1644139,48
77,M,00:42:19,76,1644139,66
